Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037204820,1843,22,6,5.809568417,53553
6037204910,2183,139,8.5,5.792486081,44197
6037204920,1950,58,7,5.77961223,45246
6037205110,2510,41,3.8,5.726131922,40385
6037205120,2367,26,4.3,5.860000053,34050
6037206010,1241,106,14.1,5.898280103,31371
6037206020,2946,1607,6.6,5.899871104,87066
6037206031,198,1281,66.5,5.932400715,105357
6037206032,2931,262,12.6,5.706539898,39651
6037206050,1456,160,15.4,5.775950033,29242
6037206200,670,406,30.1,6.113957508,35017
6037206300,1084,1170,8.1,5.980248595,11445
6037207101,417,643,36.6,5.920255638,48336
6037207102,175,30,12.3,5.983794334,29486
6037207103,142,125,12,5.985135735,31479
6037207301,863,2036,50.4,6.029985923,66156
6037207302,630,1724,55.1,5.940853706,58379
6037207400,607,143,12.2,6.114082394,9040
6037207501,226,811,75.9,5.926601187,77005
6037207502,179,565,49.2,6.141268061,56763
6037207710,422,1423,61.4,6.018772932,82873
6037207900,758,1135,73,5.922410015,98685
6037208000,3701,433,27.9,5.817041888,50538
6037208301,1620,31,6.6,5.61039334,49859
6037208302,2505,233,15.9,5.831334308,38556
6037208401,2481,75,15.1,5.537042536,32829
6037208402,1660,99,22.5,5.964046536,51501
6037208501,945,90,28.9,5.941717077,63715
6037208502,1803,271,13.7,5.664391683,35815
6037208610,1345,96,28.9,5.976554157,43885
6037208620,1703,272,31.1,5.849137604,46982
6037208710,1055,309,37.5,5.80477844,62320
6037208720,2694,196,16.9,5.980752394,31159
6037208801,1593,210,14.5,6.017264453,31069
6037208802,1400,315,28.6,5.836370825,37450
6037208902,1910,15,6.5,5.665884096,35421
6037208903,2563,245,11.4,5.638810875,31712
6037208904,2193,77,4.8,5.707435006,21707
6037209102,2917,143,12.7,5.945019881,26589
6037209103,2641,23,5.5,5.665584599,27435
6037209104,1424,196,11.5,5.85599233,25942
6037209200,966,791,47.3,5.958707321,64335
6037209300,2149,526,16.9,5.77549894,37919
6037209401,2066,200,11.2,5.716938677,27195
6037209402,2713,124,6.7,5.887406373,28317
6037209403,1761,253,14.9,5.926059051,33997
6037209510,1390,117,17.3,5.645952294,35480
6037209520,1626,38,9.9,5.806190633,30728
6037209810,1589,243,11.6,5.852890645,32935
6037209820,1862,16,8.8,5.809942525,31881
6037211000,178,2107,70.2,5.981464264,226258
6037211120,1011,541,37.8,5.784774461,48020
6037211121,775,280,36.8,6.260367063,55800
6037211122,1063,476,39.4,5.999743474,49961
6037211201,1922,170,18.4,5.732057437,46645
6037211202,1336,223,26.7,5.730749427,40687
6037211310,2318,83,17.7,5.682965802,36195
6037211320,1697,219,24.8,5.86880343,43164
6037211410,759,203,26.3,6.093345831,45017
6037211420,1228,372,33.2,5.847166229,53920
6037211500,673,1216,47.8,5.907677311,124641
6037211701,89,651,64.2,5.92072897,179339
6037211703,1813,429,31.7,5.717088829,45921
6037211704,585,441,41.1,6.049256819,39391
6037211802,1075,493,39.5,5.935340515,52313
6037211803,507,205,39.2,5.797866082,45711
6037211804,351,275,40.1,5.89239937,52194
6037211910,2531,296,16.9,5.815920713,43536
6037211921,711,110,42.2,5.878408568,42935
6037211922,1593,162,29.4,5.706970059,48648
6037212101,579,250,36,5.933304023,57228
6037212102,647,300,31.7,5.925170117,30739
6037212202,2307,106,11.7,5.735918996,37542
6037212203,1832,44,9,5.661100327,24099
6037212204,2127,121,13.4,5.721996985,31360
6037212303,1660,193,15.2,5.936862513,36619
6037212304,1022,228,24.8,5.809777624,32126
6037212305,1762,107,14.3,5.891053131,36905
6037212306,835,81,30,5.838964434,40675
6037212410,1432,350,28.1,5.906481782,47103
6037212420,1456,69,18,5.926127448,40095
