price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
37617.0,2018.0,ford,excellent,6 cylinders,gas,42900.0,automatic,truck,black,3327,2.4342000922001192,0.02110888615258757,a
28628.0,2015.0,ford,like new,8 cylinders,gas,60000.0,automatic,truck,white,470,2.3445462987268257,0.15950181712052858,b
5529.0,2004.0,ford,excellent,6 cylinders,gas,110000.0,automatic,SUV,silver,407,1.9977686264300512,-0.03482334097012305,b
45659.0,2019.0,ford,like new,6 cylinders,gas,,automatic,truck,white,304,2.3627270231516166,0.15038438602229126,b
34141.0,2018.0,ford,good,8 cylinders,gas,21585.0,automatic,pickup,white,4942,2.511275800738726,0.08554303862584245,a
23629.0,2013.0,ford,excellent,6 cylinders,gas,106300.0,automatic,pickup,silver,890,2.3760614959591213,0.05616223267277645,a
2795.0,2013.0,ford,fair,4 cylinders,gas,78000.0,manual,sedan,silver,610,2.4042234821957496,0.20787773201415927,a
18133.0,2014.0,ford,excellent,6 cylinders,gas,107000.0,automatic,SUV,black,470,2.517961190687664,0.10204663809785364,a
500.0,2012.0,ford,good,8 cylinders,gas,7453.0,automatic,truck,blue,3586,2.3028968544178383,0.15289193198921186,a
54740.0,2020.0,ford,like new,6 cylinders,gas,9400.0,automatic,SUV,white,370,2.5589286079472973,0.17720556896233886,c
22442.0,2018.0,subaru,excellent,4 cylinders,gas,40000.0,automatic,SUV,silver,381,2.473046983944373,0.1814578141954817,c
19245.0,2014.0,ford,excellent,6 cylinders,gas,69759.0,automatic,SUV,red,4131,2.3427216980462693,0.2028059856653941,c
25743.0,2017.0,ford,good,4 cylinders,gas,59288.0,automatic,SUV,white,1245,2.407483400400751,0.04741323150952451,c
6535.0,2006.0,ford,fair,8 cylinders,gas,159000.0,automatic,pickup,red,724,2.1825306376605336,0.04054181768845048,a
31052.0,2016.0,ford,excellent,8 cylinders,gas,78000.0,automatic,truck,silver,311,2.3839053719955645,0.0467668271870935,b
18165.0,2013.0,ford,good,6 cylinders,gas,49840.0,automatic,sedan,black,4072,2.2865147242067287,0.0859825462968133,b
15982.0,2015.0,ford,excellent,6 cylinders,gas,147500.0,automatic,SUV,red,481,2.314494439616998,0.06165923067671473,b
8742.0,1998.0,ford,excellent,8 cylinders,gas,47719.0,automatic,sedan,white,4136,1.8259592775395812,0.047905547090714914,a
8430.0,2012.0,subaru,excellent,4 cylinders,gas,85000.0,manual,sedan,red,1455,2.2661407435402565,0.20450989171818806,c
43170.0,1969.0,ford,like new,8 cylinders,gas,66000.0,manual,pickup,black,314,1.2953226892346001,0.210578453191432,b
12949.0,2010.0,ford,excellent,8 cylinders,gas,178407.0,automatic,pickup,blue,1195,2.420520255799322,0.07950672242665716,c
27369.0,2008.0,ford,good,8 cylinders,gas,107244.0,automatic,truck,white,2720,2.0880975236414265,0.07518580603568333,a
8468.0,2005.0,ford,good,8 cylinders,gas,192320.0,automatic,pickup,blue,299,2.2575786363297756,0.15472939813230668,a
6380.0,2000.0,ford,excellent,6 cylinders,gas,145660.0,automatic,pickup,silver,999,2.013325098700122,0.06325004487130398,c
16189.0,2014.0,ford,excellent,6 cylinders,gas,118843.0,automatic,SUV,white,3984,2.364724880789479,0.018174438176387142,c
5140.0,2006.0,ford,excellent,6 cylinders,gas,175010.0,automatic,SUV,red,409,2.224330088186374,-0.028781444534397183,a
800.0,2008.0,ford,good,8 cylinders,gas,0.0,automatic,truck,white,1643,2.221822979116313,0.13068579059032032,b
5452.0,2007.0,subaru,excellent,4 cylinders,gas,162256.0,automatic,SUV,black,369,2.080431701156513,0.010549405745208892,a
5999.0,2009.0,ford,excellent,4 cylinders,gas,128000.0,automatic,sedan,white,3755,2.1392942630072023,0.0007755798870106857,a
6090.0,2010.0,ford,good,8 cylinders,gas,159000.0,automatic,truck,black,115,2.0935295997394467,-0.07200927286493483,b
0.0,2009.0,ford,excellent,8 cylinders,gas,116044.0,automatic,truck,white,17604,2.1907110597853845,0.005739147383399756,c
42424.0,2016.0,ford,good,8 cylinders,gas,18175.0,automatic,pickup,red,5060,2.564777387314126,0.2334290166144541,a
6787.0,2012.0,ford,excellent,4 cylinders,gas,72060.0,automatic,sedan,white,21201,2.285610552128304,-0.001271704526512929,b
17387.0,2006.0,ford,excellent,8 cylinders,gas,72000.0,automatic,pickup,white,163,2.04992191304182,0.16463797245076986,a
12895.0,2012.0,ford,excellent,6 cylinders,gas,175749.0,automatic,truck,blue,774,2.276157264073005,0.12729682431920725,a
3234.0,2006.0,ford,good,4 cylinders,gas,246030.0,automatic,pickup,white,750,2.171122754332943,0.09363918813332893,a
4632.0,2002.0,ford,excellent,6 cylinders,gas,152.0,automatic,truck,white,371,1.992378479193592,0.09640862539479696,b
